customer_id,full_name,dob,marital_status,num_children,region
85,Tracey Thomas,06/09/1962,Single,0,Taranaki
86,Victoria Roberts-Mitchell,24/06/1974,Married,2,Manawatu-Whanganui
87,Joanne Rossiter,10/10/1952,Married,3,Taranaki
88,Claudia Jones-Coleman,14/04/1980,Married,2,Waikato
89,Ian Brown,08/02/1990,Single,0,Manawatu-Whanganui
90,Grace Jefferies-Parkes,05/05/1965,Married,4,Southland
91,Nathan Webb-Hickey,19/08/1982,Single,0,Taranaki
92,Jason Buckley,30/12/1990,Married,1,Waikato
93,Matthew Stevens,12/03/1982,Single,0,Otago
94,Felix Wilton-Field,16/06/1989,Married,0,Taranaki
95,Joy Lawson,10/09/1979,Married,0,Waikato
96,Mitchell Morris,30/01/1990,Single,0,Southland
97,Heather Shailer-Wheeler,09/09/1990,Single,0,Wellington
98,Roger Moore,19/01/1948,Married,3,Otago
99,Margaret Griffin,24/11/1975,Married,0,Waikato
100,Courtney Drummond-Cresswell,05/07/1961,Married,0,Northland
101,Steven Gullery,28/02/2005,Married,0,Canterbury
102,Denise Watkins,05/04/1992,Married,2,Hawke's Bay
103,Andrea Parker,20/08/2002,Single,0,Waikato
104,Carol Francis,18/01/1981,Married,2,Manawatu-Whanganui
105,Hannah Barker-Saunders,14/05/2000,Single,0,Wellington
106,Joanna Fairhall,02/04/1975,Single,0,Otago
107,Julie Wheeler,21/01/2002,Married,1,Northland
108,Reuben Woolley-Poole,05/08/1963,Single,1,Auckland
109,Paul Baker,05/10/1967,Single,0,Southland
110,Anna Simpson,21/12/1970,Married,0,Manawatu-Whanganui
111,Patrick Brown,22/08/1972,Single,0,Wellington
112,Karen Brown,01/08/2001,Married,0,Waikato
113,Susan Greig,27/03/1992,Married,1,Canterbury
114,Jane Smith-Clarke,06/03/1996,Married,1,Bay of Plenty
115,Laura Whyte,03/05/1999,Married,1,Wellington
116,Joseph Morgan,14/12/1977,Single,0,Taranaki
117,Heather Patterson,02/06/1972,Married,0,Southland
118,Scott Allerby,02/04/1987,Single,2,Auckland
119,Terry Gibbons,08/01/1990,Single,1,Waikato
120,Michael Martin,28/04/1976,Married,0,Northland
121,Dennis Patchett,06/11/1975,Married,1,Manawatu-Whanganui
122,Rachel Fisher,30/01/1996,Married,3,Canterbury
123,Samuel Chapman-Simonsen,13/06/1948,Married,1,Manawatu-Whanganui
124,Michael Findlay,04/04/1989,Married,0,Northland
125,Warwick Ward,17/04/1946,Married,0,Taranaki
126,David Crawford,09/09/1952,Single,0,Northland
127,John Russell,03/01/1970,Single,0,Bay of Plenty
128,Maree Schwass-Thomas,28/08/2000,Married,0,Auckland
129,Brendon Smith-Davies,31/12/1990,Married,1,Taranaki
130,Tracey Ward,13/03/1985,Married,0,Otago
131,Bradley Mercer,08/10/2002,Single,0,Hawke's Bay
132,Sally McMahon-Rose,13/09/1947,Single,0,Taranaki
133,Joanne Gardiner,03/05/1979,Married,0,Taranaki
134,Alexis Currie,07/04/1978,Single,0,Canterbury
135,Victoria Bright,19/04/2001,Married,0,Wellington
136,Jayden Sowman,03/03/1989,Single,0,Waikato
137,Samantha Atkinson-Burton,19/07/1974,Married,1,Hawke's Bay
138,Emma Norton-Lowe,21/10/1950,Single,0,Hawke's Bay
139,Elizabeth Francis,09/06/1986,Married,0,Wellington
140,Heather Cresswell,09/01/1967,Single,0,Hawke's Bay
141,Deborah McNabb,25/01/1968,Married,1,Otago
142,Nicola Murphy-Smith,27/11/1957,Married,3,Waikato
143,Paul West,01/07/1996,Married,2,Otago
144,Melissa Burns,12/11/1998,Married,0,Manawatu-Whanganui
145,Garry Jamieson,18/06/1961,Married,0,Southland
146,Jacqueline Barrett-Larsen,01/09/1995,Married,0,Otago
147,Holly Fowler,09/10/1965,Single,1,Wellington
148,Brian Davis,15/01/1953,Married,0,Hawke's Bay
149,Vanessa Paton,09/12/1957,Single,2,Wellington
150,Emma Bradley,21/08/1996,Married,0,Waikato
151,Eva Harris-Davis,21/05/1960,Single,0,Canterbury
152,Geoffrey Tucker,09/07/1953,Married,3,Wellington
153,Zachary Simmons,13/05/1992,Married,2,Otago
154,Ava Smith,03/04/1964,Married,0,Northland
155,Jorja Edwards,26/05/1948,Single,0,Bay of Plenty
156,Brenda Brown,15/05/1978,Married,1,Southland
157,Mary Taylor-Moore,17/03/1983,Married,1,Southland
158,Tamati Campbell,04/12/1996,Married,2,Bay of Plenty
159,MacKenzie Gore-Stone,16/10/1970,Married,3,Wellington
160,Gemma Forrest,01/02/1974,Single,1,Canterbury
161,Maria Small-Hoare,22/10/1996,Married,0,Wellington
162,Donald Williams,24/03/1961,Married,2,Canterbury
163,Anna Smith,25/07/1975,Married,0,Hawke's Bay
164,Karen Anderson-McKay,23/02/1964,Single,0,Otago
165,Ann Mason,28/11/1962,Single,0,Southland
166,Michelle Southee-Rush,18/12/1981,Single,1,Taranaki
167,Thomas Humphrey,06/10/1949,Married,1,Auckland
168,Robert MacKenzie,29/12/2000,Married,0,Manawatu-Whanganui
169,Jeffrey Weston-Johnston,18/04/1972,Single,0,Auckland
170,Lauren Davidson,08/08/1985,Married,0,Canterbury
171,Patricia Holmes,31/08/1946,Married,1,Bay of Plenty
172,William Potter,18/01/1984,Married,0,Northland
173,Wiremu Joe,31/03/1963,Single,0,Manawatu-Whanganui
174,Raymond Gray,21/03/1980,Single,0,Wellington
175,Tania Henderson,26/09/1984,Single,0,Canterbury
176,Wendy Chapman,10/09/1972,Single,0,Otago
177,Michelle Davison,08/05/1967,Married,1,Canterbury
178,Fiona Faulkner,08/04/2000,Married,1,Auckland
179,Amelia Thompson,30/01/1962,Single,0,Auckland
180,William Jamieson,04/12/1979,Married,2,Waikato
181,Karen Taylor,08/03/1980,Married,2,Southland
182,Rachel Parsons-Manning,04/10/1958,Married,0,Taranaki
183,Caitlyn McKay,05/11/2004,Married,2,Manawatu-Whanganui
184,Bronwyn Henry,04/05/1986,Single,2,Canterbury
185,George Smith,01/09/1972,Married,3,Waikato
186,Tama Landon-Lane,22/04/1976,Married,2,Canterbury
187,Joshua McIntyre,15/07/1979,Married,2,Auckland
188,Jamie Burton-Crawford,28/12/1975,Single,0,Otago
189,Jacob Blick,29/06/1979,Single,0,Manawatu-Whanganui
190,Shaun Murphy,31/08/1998,Single,0,Waikato
191,Tina Allan,28/09/2000,Married,0,Wellington
192,Paul Stubbs-Field,24/10/1989,Married,1,Auckland
193,Joel Fuller,12/07/1967,Single,1,Waikato
194,Jane Shannon,31/01/2004,Single,0,Northland
195,Malcolm Mason,06/09/1997,Married,1,Waikato
196,Glenn Crawford,24/01/2007,Married,0,Southland
197,Kora Gifford,11/04/1989,Married,0,Otago
198,Vivienne Jackson,25/01/1985,Married,0,Wellington
199,Simon Gardner,11/09/1980,Married,3,Bay of Plenty
200,Paul Perry,18/06/1989,Single,0,Taranaki
201,John Foot,11/12/1967,Married,1,Taranaki
202,Melissa Norton,28/11/2002,Single,0,Auckland
203,Jane Oliver,24/10/1993,Single,0,Bay of Plenty
204,Sophia Anderson,24/07/1949,Single,0,Bay of Plenty
205,Te Ariki Prentice-Nicholson,09/08/1951,Married,0,Hawke's Bay
206,Jesse Pike,20/05/2006,Single,0,Otago
207,Graham Taylor,19/04/1969,Married,1,Taranaki
208,Catherine Bartlett,02/06/1983,Married,0,Hawke's Bay
209,Christopher Williams,01/03/2004,Single,0,Auckland
210,Natalie Holdaway-Greig,15/09/1960,Married,2,Auckland
211,John Donaldson-Beard,25/07/1976,Single,0,Taranaki
212,Charlotte Gardner,03/06/1968,Married,2,Southland
213,Michael Rush-Neal,06/06/2002,Single,0,Manawatu-Whanganui
214,Wiremu Rowlands,29/02/1952,Married,0,Southland
215,Lisa Stevenson,28/06/1992,Married,3,Hawke's Bay
216,Ari Fleming,02/08/1963,Married,1,Wellington
217,Shirley Craig-Hoskins,15/11/2006,Married,2,Bay of Plenty
218,Sarah Cooke,11/09/1997,Single,0,Southland
219,Ruby Cook-McDonald,17/12/1961,Married,1,Manawatu-Whanganui
220,Michael Cooke,20/11/1988,Single,0,Taranaki
221,Robert Anderson-O'Sullivan,06/11/1953,Married,0,Manawatu-Whanganui
222,Grant Day-Ward,05/06/1998,Married,2,Manawatu-Whanganui
223,Kylie Marsh,02/06/2001,Single,0,Canterbury
224,Thomas Dyer-Coutts,27/12/1964,Married,1,Bay of Plenty
225,Sally Weston,11/01/1950,Single,0,Auckland
226,Shane Dalton,13/12/1971,Married,1,Waikato
227,Aria Black,26/11/1962,Single,0,Hawke's Bay
228,John Joe,29/08/1990,Single,0,Otago
229,Jane O'Neill-Richards,30/10/1990,Married,1,Northland
230,Amanda Guthrie,09/02/1983,Married,2,Taranaki
231,Diane Brown-Edmonds,15/10/2006,Married,1,Canterbury
232,Michael Thomas-Jones,09/06/1947,Single,0,Bay of Plenty
233,Brianna Baker,26/06/1981,Married,1,Southland
234,Julie Jellyman,23/06/1995,Married,1,Wellington
235,Jessica Hudson,03/06/1955,Single,0,Waikato
236,Samuel Dunn,10/12/1963,Married,2,Waikato
237,Denise Rogers,21/12/1960,Married,2,Canterbury
238,Ihaia Barnes,07/04/2006,Married,0,Waikato
239,Angela Morgan,21/03/1953,Single,2,Hawke's Bay
240,Murray Ritchie,17/07/1985,Single,0,Wellington
241,Robert Jensen,22/06/1953,Married,1,Southland
242,Antony Blair,01/01/1959,Single,0,Manawatu-Whanganui
243,Ross Mason,08/08/1997,Single,0,Waikato
244,Abigail Gee-Turner,01/10/1953,Married,0,Auckland
245,Robert Mitchell-Law,15/11/1953,Single,1,Wellington
246,Robyn Baker,09/12/1966,Married,2,Waikato
247,Donald Jackson,21/07/1973,Married,0,Taranaki
248,Peter Sullivan,06/11/1997,Single,0,Taranaki
249,Lynette Ford,25/12/1959,Married,0,Wellington
250,Paul Healey,29/09/1989,Single,0,Northland
251,John Burnett-Taylor,02/07/1977,Single,0,Taranaki
252,Natasha Burns,23/10/2006,Married,1,Northland
253,Steven Marshall,31/12/1954,Single,0,Taranaki
254,Edward Armstrong,22/03/1982,Married,1,Taranaki
255,Jane Todd,21/12/1964,Single,0,Canterbury
256,Maia Harris,29/08/1992,Single,0,Northland
257,Olivia Reid,20/08/1975,Married,1,Waikato
258,Heather Fowler,19/03/1973,Married,2,Bay of Plenty
259,Gerard Davies,02/04/1962,Single,0,Taranaki
260,Nicholas Shaw,11/02/1951,Married,1,Waikato
261,Jason McKinnon,07/04/1970,Married,0,Wellington
262,Angela Thornton,16/02/1983,Married,2,Waikato
263,James Rowland,18/12/1995,Married,0,Otago
264,William Ball,01/11/1968,Married,2,Wellington
265,Kelly Simpson-Burton,25/07/2002,Married,0,Waikato
266,Sarah Barnes,19/10/1996,Married,1,Canterbury
267,Dianne Wilton-Hope,16/02/1997,Married,2,Wellington
268,Millie Freeman-Griffiths,02/09/1989,Single,0,Otago
269,Alexander Morgan-Pritchard,13/08/2007,Single,0,Manawatu-Whanganui
270,Aimee Paul,11/06/1983,Married,0,Manawatu-Whanganui
271,Ann Hoare,28/12/1946,Single,0,Hawke's Bay
272,Debra Currie,08/02/1968,Married,3,Auckland
273,Grace Webb,13/07/1983,Married,2,Hawke's Bay
274,Stephen Hart,30/03/1996,Single,0,Auckland
275,Neil Knight,13/12/1989,Single,1,Bay of Plenty
276,Maree Williamson,29/07/1959,Married,2,Manawatu-Whanganui
277,Brenda Wilton,07/03/1964,Single,0,Taranaki
278,Kathleen Donaldson-Jones,21/10/1971,Single,0,Waikato
279,Aaron Johnston,13/04/1959,Single,0,Bay of Plenty
280,Raymond McKay,26/01/1953,Single,0,Auckland
281,Phoebe Gray,12/10/1970,Married,1,Southland
282,Joshua McKenna,08/10/1999,Single,0,Manawatu-Whanganui
283,James Hubbard,04/08/1974,Married,2,Northland
284,Tania Haines,01/02/1984,Married,3,Hawke's Bay
285,Jennifer Spencer-McKay,20/06/1972,Married,1,Manawatu-Whanganui
286,Christina Huddleston,19/03/1976,Married,1,Southland
287,Annette Franklin,18/06/1961,Single,0,Southland
288,Jennifer Williams-Paul,29/08/1995,Single,0,Northland
289,Grant Evans,24/08/1979,Married,0,Bay of Plenty
290,Kieran Davis,23/09/1997,Single,0,Waikato
291,Pamela Shepherd,14/05/2000,Married,1,Otago
292,Bradley Russell,17/09/1956,Married,2,Manawatu-Whanganui
293,Phoenix Coley,16/12/1956,Single,0,Manawatu-Whanganui
294,Karen McMillan,03/05/1984,Single,0,Wellington
295,Melanie Soper-Marshall,03/08/1987,Single,0,Taranaki
296,Jeremy Weston,15/11/1987,Married,0,Otago
297,Mark Clarke-Williams,29/04/1976,Married,0,Wellington
298,Angus Manson,16/02/1950,Single,0,Southland
299,Matthew McCallum,23/05/1976,Single,0,Auckland
300,Vanessa Giles,12/09/1947,Single,1,Waikato
301,Melissa Marshall-Shaw,04/03/1955,Single,0,Hawke's Bay
302,Ava Beard,11/04/1968,Married,0,Canterbury
303,Joshua Hansen,06/10/1961,Single,0,Wellington
304,Mareikura Barnett,27/05/1986,Single,0,Waikato
305,Jade Miller,21/09/1972,Married,1,Bay of Plenty
306,Monique Taylor,02/11/1987,Single,0,Canterbury
307,Angela Scott,26/01/1991,Single,0,Wellington
308,David Norton-Burnett,02/12/1985,Married,2,Canterbury
309,Annabelle Clifford,16/04/2007,Married,3,Wellington
310,William Hooper-Olsen,25/05/1985,Married,1,Bay of Plenty
311,George Duncan,11/10/1998,Single,0,Manawatu-Whanganui
312,Nathan Laurenson,07/03/1995,Married,1,Waikato
313,Aroha Jellyman,05/07/1979,Single,0,Southland
314,Ian Henderson,25/06/1959,Married,0,Bay of Plenty
315,Colleen Lyon,14/06/1955,Married,2,Hawke's Bay
316,Scott Harris-McGill,26/09/2001,Married,2,Hawke's Bay
317,Amelia Wells,19/01/1997,Single,0,Otago
318,Mason Simpson,18/03/1957,Single,0,Southland
319,Samantha Evans-Davidson,11/11/1972,Single,0,Taranaki
320,William Small,08/02/1996,Married,1,Auckland
321,Donna Green,07/12/1999,Single,0,Northland
322,Isaac Gibb,21/11/1974,Single,0,Otago
323,Richard Brooks-Pedersen,07/12/1955,Single,0,Northland
324,Caroline Neal-Spencer,22/05/2004,Married,2,Manawatu-Whanganui
325,Tina Dickson,05/01/1980,Married,0,Taranaki
326,Benjamin Bell-Ferguson,03/11/1979,Married,3,Bay of Plenty
327,Ariana Ingram,25/06/2000,Married,1,Taranaki
328,Tessa Day,19/11/1971,Single,0,Northland
329,Eden Godfrey,02/06/1970,Single,0,Hawke's Bay
330,Gordon Harris,17/07/1993,Married,0,Waikato
331,Robyn Martin,05/06/1964,Single,0,Wellington
332,Phillip Weston,12/10/1986,Single,0,Northland
333,Alan Reid,30/01/1955,Married,0,Northland
334,Kirsty Mitchell-McKay,26/05/1965,Single,0,Southland
335,David O'Neill,16/04/1987,Married,1,Auckland
336,Brent Cumming,07/07/1985,Single,0,Otago
337,Michael Bird,20/10/1993,Single,0,Waikato
338,Jason Bishop-Green,02/04/1973,Married,1,Bay of Plenty
339,Kevin Price,14/09/1980,Married,1,Hawke's Bay
340,Robyn Allan,16/04/1946,Single,0,Bay of Plenty
341,Amy O'Brien,23/04/1970,Married,1,Taranaki
342,Hugh Brown,25/04/1961,Married,3,Wellington
343,Richard Whyte,14/07/1967,Single,0,Manawatu-Whanganui
344,Hayden Wells,24/08/1988,Married,1,Waikato
345,Zoe Webster,23/04/1957,Married,2,Southland
346,Paul Dyer,04/06/1947,Married,2,Northland
347,Andrew Ward,04/10/1947,Married,2,Wellington
348,Keith Berkahn-Douglas,22/02/1962,Married,0,Manawatu-Whanganui
349,Ethan Haines,28/02/1948,Married,2,Bay of Plenty
350,Emma Porter,22/08/1974,Single,0,Otago
351,Susan O'Brien,14/08/1957,Married,1,Taranaki
352,Jacqueline McNabb,21/01/1963,Single,0,Taranaki
353,Anna Davey,12/11/2000,Married,1,Northland
354,Frances Harris,22/03/1967,Married,0,Bay of Plenty
355,George Davey-McEwen,05/11/1991,Single,0,Waikato
356,Julia Hawkins,10/12/2006,Single,0,Taranaki
357,Tui Morgan-Murdoch,22/10/1948,Married,3,Canterbury
358,Isla Seymour,20/02/1991,Married,0,Northland
359,Cameron Stratford,27/01/1998,Married,0,Hawke's Bay
360,Bruce Baker,22/10/1988,Single,2,Taranaki
361,Janet Sutton,30/01/1986,Married,1,Wellington
362,Tracy Richards,31/10/1996,Married,2,Bay of Plenty
363,Caroline Barnes-Oliver,14/11/1963,Married,0,Canterbury
364,Alexander Edwards,20/02/1980,Married,1,Taranaki
365,Bridget Stone,24/10/1992,Married,0,Auckland
366,Tangaroa Morris,10/04/2007,Single,2,Taranaki
367,Brian Rees,01/09/1975,Single,0,Canterbury
368,Tiare Gledhill,11/06/2002,Married,1,Northland
369,Nicole Newman,30/08/1964,Married,0,Auckland
370,Paul Laing,20/04/1988,Married,1,Northland
371,Kelly Campbell,01/08/1958,Married,1,Otago
372,Robert Smith,10/08/1982,Married,0,Auckland
373,Karen Priest,26/09/1953,Single,0,Northland
374,Anthony Kennedy,10/09/1993,Single,0,Wellington
375,Kirsten Griffin,07/12/2000,Single,0,Wellington
376,Bruce Oliver,14/12/1949,Single,0,Southland
377,Mya Larsen,25/08/2004,Single,0,Canterbury
378,Megan Henderson,08/09/1953,Single,0,Bay of Plenty
379,Suzanne Taylor,10/05/1953,Single,0,Waikato
380,Geoffrey Bell,05/03/1993,Single,0,Manawatu-Whanganui
381,Tracy Rowe,27/03/1964,Married,1,Hawke's Bay
382,Craig Steer-Morgan,10/06/1987,Married,0,Taranaki
383,Laura Brooks-Evans,02/06/1984,Married,1,Northland
384,Mitchell Parkes,31/01/1986,Married,0,Hawke's Bay
385,Amy Howell-Williams,22/07/1988,Married,4,Bay of Plenty
386,Emily MacDonald-Osborne,20/12/1986,Single,0,Auckland
387,Joshua Watts,13/08/1964,Single,0,Wellington
388,Jordan Watkins-Donald,22/02/1965,Single,1,Waikato
389,Nigel Hart,10/03/1973,Single,0,Bay of Plenty
390,Deborah Stratford,06/03/1966,Single,0,Canterbury
391,Patricia Gullery,15/01/1972,Single,0,Taranaki
392,Kerry Mitchell,10/05/1961,Married,0,Auckland
393,Douglas Parker,30/06/1951,Single,0,Hawke's Bay
394,Tyrone Howell-Pedersen,16/10/2003,Married,1,Auckland
395,Tina Short,28/10/1957,Married,0,Bay of Plenty
396,Joshua Pickering,05/11/1978,Single,0,Northland
397,Amanda Faulkner,20/04/1979,Married,0,Waikato
398,Daniel Clarke,06/05/1948,Single,1,Southland
399,Maddison Cunningham,02/09/1990,Married,1,Waikato
400,Lachlan Hopkins-Kelly,15/12/2004,Single,0,Taranaki
401,Raewyn Barnes,01/03/1972,Married,0,Canterbury
402,Linda Price-McKay,13/03/1971,Married,3,Canterbury
403,Raewyn Murphy,26/04/1987,Single,0,Canterbury
404,Brittany Learmonth-Powell,31/12/1998,Single,0,Hawke's Bay
405,Tracey Barker,14/06/1958,Married,2,Hawke's Bay
406,Jennifer Jones,22/07/1947,Single,1,Northland
407,Sadie Rowe,15/01/1955,Married,0,Bay of Plenty
408,Carolyn Orr,01/08/1966,Single,0,Bay of Plenty
409,Mareikura Giles,08/04/1965,Married,1,Northland
410,Kelly Buchanan,29/03/1978,Single,0,Hawke's Bay
411,Georgia Pollard-Barnes,04/10/1990,Single,0,Manawatu-Whanganui
412,Lucy McMahon,07/04/1994,Married,2,Hawke's Bay
413,Martin Roberts,08/07/1989,Single,0,Wellington
414,Louise Short-Greig,05/07/1956,Single,0,Southland
415,Rebecca Fisher-Steele,21/05/1961,Single,0,Hawke's Bay
416,Tracy Mitchell-Smith,02/04/1966,Married,1,Auckland
417,Jamie Cameron,20/01/1979,Married,4,Southland
418,Tania Ramsay-Bush,22/02/1949,Single,0,Hawke's Bay
419,Kenneth Hope,20/12/1989,Single,0,Canterbury
420,Jane Thornton,08/03/1976,Single,0,Southland
421,Leanne Lawson,13/12/2003,Single,0,Bay of Plenty
422,Matthew McDonald-Parker,19/11/1982,Single,0,Hawke's Bay
423,Troy Peterson,20/05/1997,Married,1,Northland
424,Nigel West,22/07/1977,Married,3,Northland
425,Tina Leslie,07/07/1963,Married,1,Otago
426,Marcus Pratt,11/11/2005,Married,1,Wellington
427,Vicki Watkins,02/09/1964,Married,2,Otago
428,Wayne Williams-Broughan,18/07/1989,Married,1,Northland
429,Debra Hutchinson,11/05/1963,Married,0,Manawatu-Whanganui
430,Cameron Dunn-Reynolds,28/05/1961,Single,0,Taranaki
431,Dianne Mason,22/09/1951,Married,0,Wellington
432,Olivia Harris,10/05/1997,Married,1,Otago
433,William Meads,27/08/1955,Married,0,Manawatu-Whanganui
434,Kate Ward,14/06/1964,Married,2,Auckland
435,Michael Gillies-Thompson,23/12/1983,Married,2,Taranaki
436,Paula Mann,12/06/1947,Married,1,Auckland
437,Stacey Gray,27/06/2007,Married,0,Otago
438,Robyn Edwards,16/11/1995,Married,1,Northland
439,Adam Sutton,16/03/1952,Married,1,Auckland
440,John Ritchie-Barnett,02/06/2005,Married,0,Taranaki
441,Karen Davis,27/07/1952,Married,0,Bay of Plenty
442,Peter Robson,21/10/1993,Married,1,Northland
443,Peter Eaton,18/07/1983,Married,0,Southland
444,Cody Chambers,13/12/2005,Single,0,Waikato
445,Kerry Thompson,13/06/1990,Married,2,Bay of Plenty
446,Kahu Sullivan,14/10/1961,Married,1,Taranaki
447,Jacob Bryant-Roberts,03/05/1967,Married,1,Waikato
448,Paige Smith-Woods,18/01/1992,Married,4,Wellington
449,Nathan Francis,10/10/1955,Married,1,Wellington
450,Tara Lyons,17/04/1997,Married,1,Canterbury
451,Michael Burke,01/12/1969,Married,1,Bay of Plenty
452,Darren Stewart,01/05/1955,Single,0,Bay of Plenty
453,Jade Kenny-Landon-Lane,11/06/1996,Single,0,Northland
454,Raymond Payne,14/06/1985,Single,2,Waikato
455,Judith Low,22/03/1950,Married,1,Canterbury
456,Anthony Hayward,21/04/1979,Single,0,Hawke's Bay
457,Laura Bell-Sanders,22/12/1974,Married,1,Canterbury
458,Paul West,28/01/2006,Married,2,Bay of Plenty
459,Samantha Fowler,31/10/1979,Single,0,Manawatu-Whanganui
460,Lisa Higgins,08/09/1990,Married,1,Taranaki
461,James Pollard,29/08/1995,Married,0,Auckland
462,Anna Grant-Jordan,24/09/1981,Married,0,Bay of Plenty
463,Manawa Crawford,10/06/1964,Married,2,Hawke's Bay
464,Richard Christiansen,14/07/1994,Married,4,Northland
465,Jamie Reed,06/06/1975,Single,1,Northland
466,Anna Burnett,02/06/2004,Married,1,Otago
467,Michael Matthews,18/01/1957,Single,0,Taranaki
468,Krystal Ireland,22/01/1960,Single,0,Otago
469,Ariki Page,03/11/1993,Married,2,Waikato
470,Kylie Edmonds,30/09/1961,Single,0,Waikato
471,Charlotte McDonald,18/06/2004,Single,1,Manawatu-Whanganui
