customer_id,region_id,full_name,date_of_birth,marital_status
221,4,Grant Day-Ward,1998-06-14,Married
222,10,Kylie Marsh,2001-06-11,Single
223,4,Thomas Dyer-Coutts,1965-01-05,Married
224,1,Sally Weston,1950-01-20,Single
225,2,Shane Dalton,1971-12-22,Married
226,11,Aria Black,1962-12-05,Single
227,1,John Joe,1990-09-07,Single
228,4,Jane O'Neill-Richards,1990-11-08,Married
229,2,Amanda Guthrie,1983-02-18,Married
230,1,Diane Brown-Edmonds,1992-08-21,Married
231,6,Bridget Jones,1947-06-18,Married
232,2,Brianna Baker,1981-07-05,Married
233,9,Julie Jellyman,1995-07-02,Married
234,4,Jessica Hudson,1955-06-12,Single
235,5,Samuel Dunn,1963-12-19,Married
236,11,Denise Rogers,1960-12-30,Married
237,8,Ihaia Barnes,1988-10-23,Married
238,4,James McDonald,1953-03-30,Married
239,9,Murray Ritchie,1985-07-26,Single
240,3,Robert Jensen,1953-07-01,Married
241,10,Antony Blair,1959-01-10,Single
242,10,Ross Mason,1997-08-17,Single
243,8,Abigail Gee-Turner,1953-10-10,Married
244,4,Robert Mitchell-Law,1953-11-24,Single
245,8,Robyn Baker,1966-12-18,Married
246,7,Donald Jackson,1973-07-30,Married
247,4,Peter Sullivan,1997-11-15,Single
248,2,Lynette Ford,1960-01-03,Married
249,2,Paul Healey,1989-10-08,Single
250,11,John Burnett-Taylor,1977-07-11,Single
251,7,Natasha Burns,1975-02-11,Married
252,6,Graeme Moore,1953-07-08,Married
253,7,Maureen Little-Webb,1985-08-01,Married
254,7,John Rodgers-Harris,1992-09-07,Single
255,8,Olivia Reid,1975-08-29,Married
256,1,Heather Fowler,1973-03-28,Married
257,11,Gerard Davies,1962-04-11,Single
258,11,Nicholas Shaw,1951-02-20,Married
259,11,Jason McKinnon,1970-04-16,Married
260,2,Angela Thornton,1983-02-25,Married
261,1,James Rowland,1995-12-27,Married
262,7,William Ball,1968-11-10,Married
263,6,Kelly Simpson-Burton,2002-08-03,Married
264,2,Sarah Barnes,1996-10-28,Married
265,4,Dianne Wilton-Hope,1997-02-25,Married
266,4,Millie Freeman-Griffiths,1989-09-11,Single
267,4,Alexander Morgan-Pritchard,1968-01-21,Single
268,9,Connor Turner,1989-08-30,Married
269,8,Cameron Armstrong,1947-01-06,Married
270,3,Debra Currie,1968-02-17,Married
271,7,Grace Webb,1983-07-22,Married
272,3,Stephen Hart,1996-04-08,Single
273,5,Neil Knight,1989-12-22,Single
274,8,Maree Williamson,1959-08-07,Married
275,4,Brenda Wilton,1964-03-16,Single
276,2,Kathleen Donaldson-Jones,1971-10-30,Single
277,8,Aaron Johnston,1959-04-22,Single
278,9,Raymond McKay,1953-02-04,Single
279,2,Phoebe Gray,1970-10-21,Married
280,1,Joshua McKenna,1999-10-17,Single
281,11,James Hubbard,1974-08-13,Married
282,9,Tania Haines,1984-02-10,Married
283,1,Jennifer Spencer-McKay,1972-06-29,Married
284,2,Christina Huddleston,1976-03-28,Married
285,4,Annette Franklin,1961-06-27,Single
286,3,Jennifer Williams-Paul,1995-09-07,Single
287,7,Grant Evans,1979-09-02,Married
288,8,Kieran Davis,1997-10-02,Single
289,8,Pamela Shepherd,2000-05-23,Married
290,4,Bradley Russell,1956-09-26,Married
291,7,Phoenix Coley,1956-12-25,Single
292,1,Karen McMillan,1984-05-12,Single
293,3,Melanie Soper-Marshall,1987-08-12,Single
294,7,Jeremy Weston,1987-11-24,Married
295,1,Mark Clarke-Williams,1976-05-08,Married
296,7,Angus Manson,1950-02-25,Single
297,5,Matthew McCallum,1976-06-01,Single
298,8,Vanessa Giles,1947-09-21,Single
299,5,Melissa Marshall-Shaw,1955-03-13,Single
300,7,Ava Beard,1968-04-20,Married
301,9,Joshua Hansen,1961-10-15,Single
302,11,Mareikura Barnett,1986-06-05,Single
303,8,Jade Miller,1972-09-30,Married
304,3,Monique Taylor,1987-11-11,Single
305,4,Angela Scott,1991-02-04,Single
306,5,David Norton-Burnett,1985-12-11,Married
307,4,Annabelle Clifford,1968-09-25,Married
308,1,Caitlin Tucker,1950-09-11,Married
309,10,Jane Flood,2000-04-07,Married
310,9,Aroha Jellyman,1979-07-14,Married
311,1,Ian Henderson,1959-07-04,Married
312,6,Colleen Lyon,1955-06-23,Married
313,1,Scott Harris-McGill,2001-10-05,Married
314,1,Amelia Wells,1997-01-28,Single
315,10,Mason Simpson,1957-03-27,Single
316,8,Samantha Evans-Davidson,1972-11-20,Single
317,9,William Small,1996-02-17,Married
318,9,Donna Green,1999-12-16,Single
319,3,Isaac Gibb,1974-11-30,Single
320,1,Richard Brooks-Pedersen,1955-12-16,Single
321,9,Caroline Neal-Spencer,2004-05-31,Married
322,2,Tina Dickson,1980-01-14,Married
323,3,Benjamin Bell-Ferguson,1979-11-12,Married
324,2,Ariana Ingram,2000-07-04,Married
325,10,Tessa Day,1971-11-28,Single
326,2,Eden Godfrey,1970-06-11,Single
327,11,Gordon Harris,1993-07-26,Married
328,4,Robyn Martin,1964-06-14,Single
329,7,Phillip Weston,1986-10-21,Single
330,2,Alan Reid,1955-02-08,Married
331,10,Kirsty Mitchell-McKay,1965-06-04,Single
332,4,David O'Neill,1987-04-25,Married
333,10,Brent Cumming,1985-07-16,Single
334,10,Michael Bird,1993-10-29,Single
335,1,Jason Bishop-Green,1973-04-11,Married
336,10,Kevin Price,1980-09-23,Married
337,2,Robyn Allan,1946-04-25,Single
338,7,Amy O'Brien,1970-05-02,Married
339,11,Hugh Brown,1961-05-04,Married
340,10,Richard Whyte,1967-07-23,Single
341,10,Hayden Wells,1988-09-02,Married
342,9,Zoe Webster,1957-05-02,Married
343,6,Paul Dyer,1947-06-13,Married
344,5,Andrew Ward,1947-10-13,Married
345,4,Keith Berkahn-Douglas,1962-03-03,Married
346,11,Ethan Haines,1948-03-08,Married
347,6,Emma Porter,1974-08-31,Single
348,4,Susan O'Brien,1957-08-23,Married
349,5,Jacqueline McNabb,1963-01-30,Single
350,7,Anna Davey,2000-11-21,Married
351,3,Frances Harris,1967-03-31,Married
352,11,George Davey-McEwen,1991-11-14,Single
353,11,Julia Hawkins,1968-12-02,Single
354,5,Emma Murdoch,1948-10-31,Single
355,8,Isla Seymour,1991-03-01,Married
356,6,Cameron Stratford,1998-02-05,Married
357,2,Bruce Baker,1988-10-31,Single
358,1,Janet Sutton,1986-02-08,Married
359,8,Tracy Richards,1996-11-09,Married
360,10,Caroline Barnes-Oliver,1963-11-23,Married
361,10,Alexander Edwards,1980-02-29,Married
362,2,Bridget Stone,1992-11-02,Married
363,2,Tangaroa Morris,1978-05-10,Single
364,9,Callum Williams,1956-09-05,Married
365,4,Tiare Gledhill,2002-06-20,Single
366,9,Nicole Newman,1964-09-08,Married
367,5,Paul Laing,1988-04-29,Married
368,3,Kelly Campbell,1958-08-10,Married
369,6,Robert Smith,1982-08-19,Married
370,2,Karen Priest,1953-10-05,Single
371,4,Anthony Kennedy,1993-09-19,Single
372,6,Kirsten Griffin,2000-12-16,Single
373,5,Bruce Oliver,1949-12-23,Single
374,3,Mya Larsen,2004-09-03,Single
375,8,Megan Henderson,1953-09-17,Single
376,9,Suzanne Taylor,1953-05-19,Single
377,5,Geoffrey Bell,1993-03-14,Single
378,10,Tracy Rowe,1964-04-05,Married
379,11,Craig Steer-Morgan,1987-06-19,Married
380,9,Laura Brooks-Evans,1984-06-11,Married
381,1,Mitchell Parkes,1986-02-09,Married
382,11,Amy Howell-Williams,1988-07-31,Married
383,9,Emily MacDonald-Osborne,1986-12-29,Single
384,5,Joshua Watts,1964-08-22,Single
385,11,Jordan Watkins-Donald,1965-03-03,Single
386,2,Nigel Hart,1973-03-19,Single
387,3,Deborah Stratford,1966-03-15,Single
388,5,Patricia Gullery,1972-01-24,Single
389,2,Kerry Mitchell,1961-05-19,Married
390,2,Douglas Parker,1951-07-09,Single
391,9,Tyrone Howell-Pedersen,2003-10-25,Married
392,3,Tina Short,1957-11-06,Married
393,5,Joshua Pickering,1978-11-14,Single
394,5,Amanda Faulkner,1979-04-29,Married
395,10,Daniel Clarke,1948-05-15,Single
396,4,Maddison Cunningham,1990-09-11,Married
397,6,Lachlan Hopkins-Kelly,1962-12-05,Single
398,4,Raewyn Barnes,1972-03-10,Single
399,11,Linda Price-McKay,1971-03-22,Married
400,11,Raewyn Murphy,1987-05-05,Single
401,5,Brittany Learmonth-Powell,1999-01-09,Single
402,9,Tracey Barker,1958-06-23,Married
403,8,Jennifer Jones,1947-07-31,Single
404,5,Sadie Rowe,1955-01-24,Married
405,1,Carolyn Orr,1966-08-10,Single
406,2,Mareikura Giles,1965-04-17,Married
407,11,Kelly Buchanan,1978-04-07,Single
408,7,Georgia Pollard-Barnes,1990-10-13,Single
409,5,Lucy McMahon,1994-04-16,Married
410,1,Martin Roberts,1989-07-17,Single
411,1,Louise Short-Greig,1956-07-14,Single
412,6,Rebecca Fisher-Steele,1961-05-30,Single
413,3,Tracy Mitchell-Smith,1966-04-11,Married
414,11,Jamie Cameron,1979-01-29,Married
415,5,Tania Ramsay-Bush,1949-03-03,Single
416,3,Kenneth Hope,1989-12-29,Single
417,8,Jane Thornton,1976-03-17,Single
418,9,Leanne Lawson,2003-12-22,Single
419,7,Matthew McDonald-Parker,1982-11-28,Single
420,9,Troy Peterson,1997-05-29,Married
421,1,Nigel West,1977-07-31,Married
422,2,Tina Leslie,1963-07-16,Married
423,2,Marcus Pratt,1971-10-12,Married
424,3,Flynn McKay,1993-07-12,Married
425,9,Tayla Coley,1995-10-15,Married
426,1,Daniel Atkinson,1983-03-06,Single
427,6,Cameron Dunn-Reynolds,1961-06-06,Single
428,10,Dianne Mason,1951-10-01,Married
429,9,Olivia Harris,1997-05-19,Married
430,3,William Meads,1955-09-05,Married
431,7,Kate Ward,1964-06-23,Married
432,3,Michael Gillies-Thompson,1984-01-01,Married
433,1,Paula Mann,1947-06-21,Married
434,5,Stacey Gray,1947-05-28,Married
435,6,Claire Simonsen,2004-04-15,Married
436,1,Adam Sutton,1952-03-25,Married
437,6,John Ritchie-Barnett,1954-01-23,Married
438,4,Emma Dawick,1967-06-08,Single
439,11,Melissa O'Connell,1945-11-21,Married
440,4,Robyn Sutton,1996-06-18,Single
441,11,Matthew O'Neill,1972-07-10,Married
442,2,Harper Dixon,1951-06-03,Married
443,6,Jonathan Webby,1945-05-24,Married
444,9,Dorothy Avery,1967-05-12,Married
445,7,Paige Smith-Woods,1992-01-27,Married
446,10,Nathan Francis,1955-10-19,Married
447,3,Tara Lyons,1997-04-26,Married
448,4,Michael Burke,1969-12-10,Married
449,3,Darren Stewart,1955-05-10,Single
450,3,Jade Kenny-Landon-Lane,1996-06-20,Single
451,7,Raymond Payne,1985-06-23,Single
452,1,Judith Low,1950-03-31,Married
453,3,Anthony Hayward,1979-04-30,Single
454,6,Laura Bell-Sanders,1974-12-31,Married
455,7,Paul West,1979-08-30,Married
456,11,John Lee,1976-01-06,Single
457,4,Logan Joe,1965-11-25,Single
458,5,James Pollard,1995-09-07,Single
459,3,Anna Grant-Jordan,1981-10-03,Married
460,2,Manawa Crawford,1964-06-19,Married
461,7,Richard Christiansen,1994-07-23,Married
462,1,Jamie Reed,1975-06-15,Single
463,8,Anna Burnett,2004-06-11,Married
464,4,Michael Matthews,1957-01-27,Single
465,4,Krystal Ireland,1960-01-31,Single
466,8,Ariki Page,1993-11-12,Married
467,6,Kylie Edmonds,1961-10-09,Single
468,5,Charlotte McDonald,2004-06-27,Single
469,4,Alistair Morton,1986-10-10,Single
470,4,David Brown,1985-05-07,Single
471,1,Maddison Low,1948-03-29,Married
472,11,James Baker,1959-09-19,Married
473,4,Cameron Esson,1960-11-12,Single
474,7,Hannah Todd-Joe,1966-10-02,Single
475,6,Stephen Skinner-Woolley,1973-01-27,Married
476,5,Anthony Jarvis-Bruce,1956-11-05,Married
477,2,Linda Jones,1968-05-14,Single
478,5,Robyn Ryan,1973-04-05,Single
479,6,Gavin Edwards,1981-07-15,Married
480,11,Sean Stevens,1993-01-29,Single
481,9,Tania McGregor,1973-04-10,Married
482,7,Carol Jensen,1958-10-07,Single
483,11,Timothy Hopkins,1951-03-23,Married
484,9,Andrew Duncan,1986-02-05,Single
485,6,Simon McDonald,1996-10-06,Single
486,1,Denise Wood,1967-08-03,Single
487,2,Daniel McDonald,1995-05-22,Married
488,5,Tania Dillon,1992-10-27,Married
489,3,Tania Simmons,1997-09-14,Married
490,10,Karen Robson,1965-12-01,Married
491,5,Kelly Holdaway,1951-08-22,Married
492,1,Rachel Ryan,1958-10-02,Single
493,2,Jessica McGregor,1959-12-27,Married
494,10,Adrian Simmons,1984-09-03,Single
495,7,Gabrielle Davis,1960-08-01,Single
496,6,Sarah Hodson-Woods,1991-07-14,Married
497,6,Raymond West-Baxter,1995-04-05,Married
498,7,Chloe Jennings,1956-06-13,Single
499,10,Kathleen Turnbull,1981-10-27,Married
500,9,Kevin Wall,1949-12-27,Single
501,2,Raymond Williamson,2002-04-07,Single
502,7,Anthony Simpson,1959-10-25,Single
503,10,Jade Goodwin,1990-04-21,Single
504,4,Michelle Smith,1981-02-23,Single
505,5,Alexandra Tapp,1963-08-17,Single
506,1,Aidan Kendall-Johansen,1999-10-16,Single
507,7,Thomas Barnett,1961-04-30,Married
508,1,Kirsty McPherson-Roberts,1971-12-09,Married
509,9,Victoria Holland,1961-06-24,Married
510,9,Gavin Laurenson,1950-06-01,Single
511,11,Benjamin Fisher,1982-07-17,Single
512,11,Michael Kenny,1950-07-23,Single
513,4,Melanie Hughes,2003-04-25,Single
514,6,Tania Adams,2004-01-03,Married
515,7,Kate Jones-Williams,1964-01-04,Single
516,2,Michelle Henderson-Mann,1945-12-30,Single
517,11,Catherine Simmonds-Simmonds,1950-03-02,Married
518,6,Lucas Rose,2002-09-26,Married
519,10,Hayley Blake,1954-06-15,Married
520,6,Joshua Lambert,1948-08-01,Single
521,11,Donna Williams,1986-02-10,Married
522,2,Vicki Black-Middleton,1946-12-12,Single
523,5,Ricky Ferguson-Adams,1982-07-25,Single
524,9,Christine Nielsen,1970-10-17,Married
525,5,Gabrielle Parker-Williams,1963-03-02,Married
526,11,Nikki Armstrong,1995-04-07,Married
527,7,Isabelle Scott,1965-11-28,Married
528,6,Rachel Harris,1950-11-14,Single
529,7,Julia Barrett,1972-09-11,Married
530,5,Benjamin Barrett,1985-07-20,Married
531,9,Shirley Smith,1973-02-02,Single
532,3,Paul Higgins,1961-06-13,Married
533,4,Chloe Fisher,1954-05-18,Single
534,7,Dylan Moore-Evans,1963-09-17,Married
535,11,Joseph Williams-Neal,1961-09-17,Married
536,7,Lynette Davis,1952-03-17,Single
537,11,Aaron Black-Carroll,1970-10-13,Married
538,3,Hazel McPherson,2003-06-03,Married
539,10,Caroline Marshall-Huddleston,1958-08-07,Single
540,10,Christine Kennedy,1966-08-25,Single
541,5,Wendy Maxwell,1967-02-08,Married
542,7,Ryan Powell-Thomas,1983-04-20,Married
543,9,Tiare Henderson-Gibbs,1946-10-06,Married
544,1,Tracey Wood,1999-03-19,Single
545,5,Ryan Leslie,1972-10-09,Married
546,5,Carolyn Johnston,1962-02-15,Single
547,4,Paul Doyle,1949-12-18,Single
548,7,Kate Dixon-McCallum,2004-02-09,Single
549,10,Leah Eaton,1969-05-25,Single
550,10,Lynette Mortimer,1952-05-16,Single
551,11,Michael Gibson,1988-12-16,Single
552,6,Lucas Curtis,1988-12-09,Single
553,8,Wendy Wilton,1945-08-25,Married
554,8,Darryl Prentice-Freeman,1991-09-22,Married
555,8,Jesse Olsen,1997-06-27,Single
556,11,Natasha Simpson-Jacques,1977-10-13,Single
557,4,Jamie Boniface-Thomas,1994-08-13,Married
558,9,Grace McLean,1959-01-03,Married
559,8,Helen Scott,1994-01-23,Single
560,3,Hannah Stevens,2000-01-24,Single
561,11,Alan Larsen,1952-05-16,Single
562,2,Toby Hoare,1980-01-17,Single
563,5,Charlotte Higgins,1976-05-16,Married
564,9,Mary Edwards,1989-08-29,Married
565,11,Amanda Bishop,1958-05-11,Single
566,11,Joanne Smith-Reid,1963-11-15,Single
567,10,Mark Porter,1981-06-19,Single
568,6,Hannah Holland,1962-10-13,Married
569,2,Kirsty O'Neill,1985-07-21,Single
570,4,Jasmine Thomas-Clarke,1976-02-02,Married
571,11,Russell Newton,1965-03-04,Single
572,5,Anne Stewart-Campbell,1965-09-17,Single
573,4,Jack Turner,1971-05-14,Married
574,4,Caroline Gill-Edwards,1988-03-05,Married
575,3,Lindsay West,1954-06-24,Single
576,1,Sarah Gore,2003-10-30,Married
577,1,Joseph Davis,1971-01-21,Married
578,4,Mia Sinclair,1978-05-23,Single
579,8,Kathleen Thompson,1947-01-12,Married
580,10,Gareth Morgan,1981-07-07,Single
581,2,Richard Rose,1997-07-02,Married
582,8,Lesley Thomas,1952-09-13,Single
583,7,Sara Barnes,2000-11-28,Married
584,11,Phoenix Gardner,1959-10-20,Single
585,10,Peter Woods,1961-10-10,Married
586,4,John Phillips,2000-07-04,Married
587,7,Shirley Thomas,2000-03-06,Married
588,8,Ross Forrest,1968-10-15,Married
589,7,Maureen Evans-Martin,1958-12-28,Single
590,4,Luke Bartlett,1985-07-18,Married
591,3,Graham Low,1964-08-14,Single
592,11,Wayne Lee-Bowden,2000-05-27,Single
593,1,William Tait,1948-12-18,Married
594,2,Oliver Stewart,1954-11-18,Married
595,7,Sarah Nolan,1990-12-12,Single
596,4,Casey Vercoe,1987-08-27,Married
597,3,Julie Armstrong,2004-10-27,Married
